Date,Region,NonDetect,Low,Moderate,High,VeryHigh,InvalidOrMissing
2022-06-02,Franks Tract,75,0,0,0,0,91
2022-06-02,Mildred Island,16,0,0,0,0,26
2022-06-02,Clifton Court Forebay,37,0,0,0,0,72
2022-06-03,Franks Tract,98,0,0,0,0,68
2022-06-03,Mildred Island,18,0,0,0,0,24
2022-06-03,Clifton Court Forebay,82,0,0,0,0,27
2022-06-06,Franks Tract,103,0,0,0,0,63
2022-06-06,Mildred Island,11,0,0,0,0,31
2022-06-06,Liberty Island,79,1,3,6,0,55
2022-06-07,Clifton Court Forebay,59,0,0,0,0,50
2022-06-10,Franks Tract,129,0,0,0,0,37
2022-06-10,Mildred Island,24,0,0,0,0,18
2022-06-10,Clifton Court Forebay,80,0,0,0,0,29
2022-06-10,Liberty Island,117,0,0,0,0,27
2022-06-11,Franks Tract,129,0,0,0,0,37
2022-06-11,Mildred Island,22,0,0,0,0,20
2022-06-11,Clifton Court Forebay,82,0,0,0,0,27
2022-06-11,Liberty Island,117,0,0,0,0,27
2022-06-14,Franks Tract,131,0,2,0,0,33
2022-06-14,Mildred Island,19,0,0,0,0,23
2022-06-14,Clifton Court Forebay,62,7,12,4,0,24
2022-06-14,Liberty Island,123,0,0,1,0,20
2022-06-15,Franks Tract,121,0,0,0,0,45
2022-06-15,Mildred Island,18,0,0,0,0,24
2022-06-15,Clifton Court Forebay,52,3,15,5,0,34
2022-06-15,Liberty Island,116,0,0,0,0,28
2022-06-18,Franks Tract,126,0,0,0,0,40
2022-06-18,Mildred Island,25,0,0,0,0,17
2022-06-18,Clifton Court Forebay,70,2,8,5,0,24
2022-06-18,Liberty Island,106,0,0,0,0,38
2022-06-19,Franks Tract,108,0,0,0,0,58
2022-06-19,Mildred Island,15,0,0,0,0,27
2022-06-19,Clifton Court Forebay,65,0,13,6,0,25
2022-06-19,Liberty Island,93,0,0,0,0,51
2022-06-22,Liberty Island,96,0,0,0,0,48
2022-06-23,Franks Tract,87,0,0,0,0,79
2022-06-23,Clifton Court Forebay,58,0,0,0,0,51
2022-06-23,Liberty Island,94,0,0,0,0,50
2022-06-26,Franks Tract,133,0,0,0,0,33
2022-06-26,Mildred Island,24,0,0,0,0,18
2022-06-26,Clifton Court Forebay,78,0,1,2,0,28
2022-06-26,Liberty Island,120,0,0,0,0,24
