"Source","Station","Latitude","Longitude","Date","Datetime","DissAmmonia","DissAmmonia_Sign","DissNitrateNitrite","DissNitrateNitrite_Sign","DissOrthophos","DissOrthophos_Sign","Chlorophyll","Chlorophyll_Sign","Month","Year","Nitrate","Phosphorus","Chl","Ammonium"
"DWR_EMP","C3A",38.36771,-121.5205,2014-02-05,2014-02-05 09:30:00,0.43,"=",0.19,"=",0.07,"=",6.51,"=",2,2014,0.19,0.07,6.51,0.43
"DWR_EMP","C3A",38.36771,-121.5205,2014-03-06,2014-03-06 09:23:00,0.25,"=",0.45,"=",0.06,"=",4.17,"=",3,2014,0.45,0.06,4.17,0.25
"DWR_EMP","C3A",38.36771,-121.5205,2014-04-04,2014-04-04 08:10:00,0.39,"=",0.25,"=",0.08,"=",2.63,"=",4,2014,0.25,0.08,2.63,0.39
"DWR_EMP","C3A",38.36771,-121.5205,2014-05-05,2014-05-05 09:07:00,0.94,"=",0.28,"=",0.1,"=",3.73,"=",5,2014,0.28,0.1,3.73,0.94
"DWR_EMP","C3A",38.36771,-121.5205,2014-06-18,2014-06-18 08:10:00,0.59,"=",0.22,"=",0.08,"=",1.61,"=",6,2014,0.22,0.08,1.61,0.59
"DWR_EMP","C3A",38.36771,-121.5205,2014-07-03,2014-07-03 08:52:00,0.58,"=",0.21,"=",0.09,"=",2.63,"=",7,2014,0.21,0.09,2.63,0.58
"DWR_EMP","C3A",38.36771,-121.5205,2014-08-15,2014-08-15 09:09:00,0.25,"=",0.17,"=",0.05,"=",1.03,"=",8,2014,0.17,0.05,1.03,0.25
"DWR_EMP","C3A",38.36771,-121.5205,2014-09-26,2014-09-26 07:30:00,0.73,"=",0.34,"=",0.13,"=",0.99,"=",9,2014,0.34,0.13,0.99,0.73
"DWR_EMP","C3A",38.36771,-121.5205,2014-10-03,2014-10-03 08:50:00,0.91,"=",0.35,"=",0.12,"=",1.21,"=",10,2014,0.35,0.12,1.21,0.91
"DWR_EMP","C3A",38.36771,-121.5205,2014-11-14,2014-11-14 12:48:00,0.7,"=",0.5,"=",0.13,"=",0.68,"=",11,2014,0.5,0.13,0.68,0.7
"DWR_EMP","C3A",38.36771,-121.5205,2015-02-17,2015-02-17 15:15:00,0.13,"=",0.23,"=",0.04,"=",2.11,"=",2,2015,0.23,0.04,2.11,0.13
"DWR_EMP","C3A",38.36771,-121.5205,2015-03-13,2015-03-13 11:21:00,0.53,"=",0.19,"=",0.07,"=",2.33,"=",3,2015,0.19,0.07,2.33,0.53
"DWR_EMP","C3A",38.36771,-121.5205,2015-04-14,2015-04-14 15:28:00,0.75,"=",0.38,"=",0.09,"=",3.81,"=",4,2015,0.38,0.09,3.81,0.75
"DWR_EMP","C3A",38.36771,-121.5205,2015-05-12,2015-05-12 10:29:00,0.32,"=",0.29,"=",0.06,"=",1.35,"=",5,2015,0.29,0.06,1.35,0.32
"DWR_EMP","C3A",38.36771,-121.5205,2015-06-05,2015-06-05 08:25:00,0.24,"=",0.2,"=",0.06,"=",1.05,"=",6,2015,0.2,0.06,1.05,0.24
"DWR_EMP","C3A",38.36771,-121.5205,2015-07-06,2015-07-06 07:45:00,0.26,"=",0.14,"=",0.04,"=",1.58,"=",7,2015,0.14,0.04,1.58,0.26
"DWR_EMP","C3A",38.36771,-121.5205,2015-08-03,2015-08-03 07:33:00,0.18,"=",0.14,"=",0.04,"=",1.98,"=",8,2015,0.14,0.04,1.98,0.18
"DWR_EMP","C3A",38.36771,-121.5205,2015-09-23,2015-09-23 14:00:00,0.52,"=",0.28,"=",0.05,"=",0.79,"=",9,2015,0.28,0.05,0.79,0.52
"DWR_EMP","C3A",38.36771,-121.5205,2015-10-16,2015-10-16 07:45:00,0.33,"=",0.25,"=",0.08,"=",1.27,"=",10,2015,0.25,0.08,1.27,0.33
"DWR_EMP","C3A",38.36771,-121.5205,2015-11-02,2015-11-02 11:15:00,0.52,"=",0.38,"=",0.08,"=",1.27,"=",11,2015,0.38,0.08,1.27,0.52
"DWR_EMP","C3A",38.36771,-121.5205,2016-02-01,2016-02-01 10:55:00,0.09,"=",0.43,"=",0.03,"=",2.24,"=",2,2016,0.43,0.03,2.24,0.09
"DWR_EMP","C3A",38.36771,-121.5205,2016-03-01,2016-03-01 09:56:00,0.31,"=",0.28,"=",0.05,"=",1.65,"=",3,2016,0.28,0.05,1.65,0.31
"DWR_EMP","C3A",38.36771,-121.5205,2016-04-12,2016-04-12 08:11:00,0.25,"=",0.16,"=",0.04,"=",3,"=",4,2016,0.16,0.04,3,0.25
"DWR_EMP","C3A",38.36771,-121.5205,2016-05-10,2016-05-10 08:00:00,0.5,"=",0.1,"=",0.08,"=",1.09,"=",5,2016,0.1,0.08,1.09,0.5
"DWR_EMP","C3A",38.36771,-121.5205,2016-06-08,2016-06-08 07:45:00,0.68,"=",0.07,"=",0.07,"=",1.29,"=",6,2016,0.07,0.07,1.29,0.68
"DWR_EMP","C3A",38.36771,-121.5205,2016-07-08,2016-07-08 08:15:00,0.38,"=",0.05,"=",0.04,"=",1.54,"=",7,2016,0.05,0.04,1.54,0.38
"DWR_EMP","C3A",38.36771,-121.5205,2016-08-05,2016-08-05 07:15:00,0.04,"=",0.06,"=",0.06,"=",1.87,"=",8,2016,0.06,0.06,1.87,0.04
"DWR_EMP","C3A",38.36771,-121.5205,2016-09-06,2016-09-06 09:30:00,0.32,"=",0.1,"=",0.06,"=",2.28,"=",9,2016,0.1,0.06,2.28,0.32
"DWR_EMP","C3A",38.36771,-121.5205,2016-10-20,2016-10-20 10:30:00,0.71,"=",0.25,"=",0.12,"=",0.75,"=",10,2016,0.25,0.12,0.75,0.71
"DWR_EMP","C3A",38.36771,-121.5205,2016-11-03,2016-11-03 09:00:00,0.44,"=",0.34,"=",0.1,"=",1.09,"=",11,2016,0.34,0.1,1.09,0.44
"DWR_EMP","C3A",38.36771,-121.5205,2017-02-03,2017-02-03 10:30:00,0.11,"=",0.21,"=",0.04,"=",2,"=",2,2017,0.21,0.04,2,0.11
"DWR_EMP","C3A",38.36771,-121.5205,2017-03-07,2017-03-07 10:45:00,0.11,"=",0.19,"=",0.04,"=",2.5,"=",3,2017,0.19,0.04,2.5,0.11
"DWR_EMP","C3A",38.36771,-121.5205,2017-04-03,2017-04-03 09:45:00,0.08,"=",0.15,"=",0.04,"=",5.35,"=",4,2017,0.15,0.04,5.35,0.08
"DWR_EMP","C3A",38.36771,-121.5205,2017-05-16,2017-05-16 08:30:00,0.1,"=",0.06,"=",0.03,"=",2.59,"=",5,2017,0.06,0.03,2.59,0.1
"DWR_EMP","C3A",38.36771,-121.5205,2017-06-13,2017-06-13 07:45:00,0.27,"=",0.2,"=",0.05,"=",2.88,"=",6,2017,0.2,0.05,2.88,0.27
"DWR_EMP","C3A",38.36771,-121.5205,2017-07-13,2017-07-13 08:15:00,0.79,"=",0.11,"=",0.1,"=",5.82,"=",7,2017,0.11,0.1,5.82,0.79
