contrast,estimate,SE,df,t.ratio,p.value,sig
fYear2014 - fYear2015,-0.06935625808195131,0.05131238258513326,2022.1342784451392,-1.3516475865621937,0.915366899316366,not sig
fYear2014 - fYear2016,-0.12789685616916288,0.05188878706080058,2021.5675762973895,-2.464826476273188,0.24991881730966126,not sig
fYear2014 - fYear2017,-0.033908251816305655,0.05172440397032097,2021.4944609933061,-0.6555561633104932,0.9992527622918896,not sig
fYear2014 - fYear2018,-0.09553757853126837,0.05054729469008228,2022.9212582689972,-1.890063140214178,0.6207602015306336,not sig
fYear2014 - fYear2019,0.017410412650374105,0.054910895041559916,2023.0661838013928,0.3170666338109558,0.9999970845730226,not sig
fYear2014 - fYear2020,0.02411899197435148,0.053842281421879135,2022.9079071747299,0.44795635209749085,0.9999573260598646,not sig
fYear2015 - fYear2016,-0.05854059808721157,0.04865141547914273,2021.315292408693,-1.2032660819973144,0.9559511466600996,not sig
fYear2015 - fYear2017,0.035448006265645655,0.048526538928537206,2021.581649068474,0.7304870087242014,0.9983641252612467,not sig
fYear2015 - fYear2018,-0.026181320449317064,0.04709317685990907,2021.5717987000655,-0.5559472134827562,0.9997798704252426,not sig
fYear2015 - fYear2019,0.08676667073232541,0.051856091834025814,2021.588445284707,1.673220400219068,0.7630185100269191,not sig
fYear2015 - fYear2020,0.09347525005630279,0.051059416109316406,2025.0369350126825,1.830715217271102,0.6616130516941743,not sig
fYear2016 - fYear2017,0.09398860435285722,0.04674743658813252,2021.633719961993,2.010561673807747,0.5360530177092648,not sig
fYear2016 - fYear2018,0.03235927763789451,0.045121770311927115,2022.1816434702887,0.7171544337510385,0.9985665848234755,not sig
fYear2016 - fYear2019,0.14530726881953698,0.0506151477830889,2022.1582501848748,2.8708257346644714,0.09644247063434752,not sig
fYear2016 - fYear2020,0.15201584814351438,0.04943983704593832,2024.7657746544546,3.074764344434729,0.05467065555369466,not sig
fYear2017 - fYear2018,-0.06162932671496272,0.04484455250332254,2022.7627792302715,-1.3742879184801007,0.9075392906972248,not sig
fYear2017 - fYear2019,0.051318664466679764,0.05010444298526945,2022.011201363476,1.0242338086019096,0.9836165976268618,not sig
fYear2017 - fYear2020,0.058027243790657136,0.048856973742914145,2023.4985607499016,1.1876962354647065,0.9591979878680628,not sig
fYear2018 - fYear2019,0.11294799118164248,0.04879781507435408,2022.3724169603156,2.314611648278548,0.33358960927607917,not sig
fYear2018 - fYear2020,0.11965657050561986,0.047618252285726526,2026.272956920902,2.5128299499031943,0.2262031133940099,not sig
fYear2019 - fYear2020,0.006708579323977375,0.05233597754020752,2025.249577079339,0.12818293723134258,0.9999999977720868,not sig
fYear2019 - fYear2022,0.14355570889822425,0.04686133533090785,2022.504118082068,3.06341481488985,0.05651020599576495,not sig
fYear2020 - fYear2022,0.13684712957424688,0.04560899813887474,2024.722134913733,3.0004414733592997,0.0676812600406329,not sig
fYear2021 - fYear2022,-0.05126301771259778,0.03989086393969321,2022.1443663702528,-1.2850816615578176,0.9358165308279776,not sig
fYear2014 - fYear2021,0.21222913926119613,0.04856107383047805,2021.9723279613083,4.37035515322555,4.430803223298696e-4,sig
fYear2014 - fYear2022,0.16096612154859835,0.047947224090270135,2021.5881096044661,3.3571520479589765,0.022728351490811982,sig
fYear2015 - fYear2021,0.28158539734314747,0.045255657115494285,2021.305881176366,6.222103827252581,2.1415287987380793e-8,sig
fYear2015 - fYear2022,0.23032237963054966,0.04467947733131062,2021.7913352864146,5.154992703308632,9.866900612220952e-6,sig
fYear2016 - fYear2021,0.34012599543035904,0.04429807294696139,2021.4516136580098,7.678121706052449,5.0716431054809163e-11,sig
fYear2016 - fYear2022,0.28886297771776126,0.04365863238451017,2021.3755175244012,6.6164000551755295,1.740454669274527e-9,sig
fYear2017 - fYear2021,0.2461373910775018,0.0439087831155833,2021.5997892961602,5.605652755841171,8.436415505075345e-7,sig
fYear2017 - fYear2022,0.194874373364904,0.043142774281145456,2021.4755084077176,4.5169643494639455,2.2824153909384304e-4,sig
fYear2018 - fYear2021,0.3077667177924645,0.04220108100240364,2021.7179932080971,7.292863369422577,6.554490283861014e-11,sig
fYear2018 - fYear2022,0.2565037000798667,0.041730673375414605,2023.6274931993867,6.146646563124583,3.419432637041808e-8,sig
fYear2019 - fYear2021,0.19481872661082203,0.047686845238722554,2022.0420613459307,4.085376703691563,0.0015072835659751815,sig
fYear2020 - fYear2021,0.18811014728684466,0.046405838458057534,2025.2780336801413,4.053587943613219,0.0017183698011494775,sig
