contrast,estimate,SE,df,t.ratio,p.value,sig
(Cache/Liberty) - East Delta,-0.012541653622784806,0.055792285665302685,2340.1503537130134,-0.2247918950304716,0.9999985559417468,not sig
(Cache/Liberty) - Lower Sac,0.0672097844388249,0.037983469877225465,2340.0467083705503,1.7694482535710425,0.6409946653631071,not sig
(Cache/Liberty) - Lower SJ,0.038074612765863915,0.041845000157643836,2340.083981028989,0.9098963465748444,0.9851970456151591,not sig
(Cache/Liberty) - OMR,0.023437660676983236,0.05309908373756447,2340.0936055472885,0.4413948231728615,0.999853629523352,not sig
(Cache/Liberty) - South Delta,-0.004379039864008022,0.045283308325858224,2340.0645238418892,-0.09670317885116732,0.9999999959425014,not sig
East Delta - Lower Sac,0.07975143806160971,0.05518931544545101,2340.136586118241,1.4450521340572857,0.8360817006971252,not sig
East Delta - Lower SJ,0.05061626638864872,0.057815757150659466,2340.123583078808,0.8754752836108343,0.9882076255225167,not sig
East Delta - OMR,0.03597931429976804,0.06609265694882718,2340.041127794656,0.5443768787752827,0.9994094675148381,not sig
East Delta - South Delta,0.008162613758776784,0.060251633175508336,2340.055265172891,0.1354753942519653,0.9999999573086338,not sig
Franks - Lower Sac,-0.09003257985213813,0.03638466259630409,2340.054757199746,-2.4744651572303855,0.2068716427889924,not sig
Franks - Lower SJ,-0.11916775152509912,0.04052566040760568,2340.0495788673697,-2.940550513588527,0.06524942769878073,not sig
Franks - OMR,-0.13380470361397978,0.052206734195107275,2340.067834315608,-2.5629778548093847,0.17015655916985617,not sig
Lower Sac - Lower SJ,-0.029135171672960987,0.040887508318998254,2340.049652220806,-0.7125690185289041,0.9966551165423978,not sig
Lower Sac - OMR,-0.04377212376184167,0.052349893495076454,2340.0816881043343,-0.8361454214984883,0.9910420138778562,not sig
Lower Sac - South Delta,-0.07158882430283292,0.04460770401749707,2340.0600796697368,-1.6048533740887603,0.7475526019345675,not sig
Lower SJ - OMR,-0.014636952088880679,0.054963145080447834,2340.0468161714716,-0.26630484968531243,0.9999953406568213,not sig
Lower SJ - South Delta,-0.042453652629871934,0.04749572272630695,2340.0515471510985,-0.8938415965267055,0.986666888108515,not sig
OMR - South Delta,-0.02781670054099126,0.056882543118526224,2340.0329303528515,-0.4890199877848212,0.9997095453501361,not sig
(Cache/Liberty) - Franks,0.15724236429096303,0.03804542943872534,2340.099415061744,4.133015886815318,9.665410233312688e-4,sig
(Cache/Liberty) - Upper Sac,0.38304416631452354,0.04520431039788472,2340.073924041659,8.473620390245962,0,sig
East Delta - Franks,0.16978401791374784,0.0549715903872761,2340.128914493331,3.0885775128137203,0.04250307141960863,sig
East Delta - Upper Sac,0.39558581993730835,0.060412807750301584,2340.085776637858,6.548045599409068,1.994796328119719e-9,sig
Franks - South Delta,-0.16162140415497106,0.044749040597981,2340.048504112362,-3.611728921899236,0.007489716484711972,sig
Franks - Upper Sac,0.2258018020235605,0.04453526107695606,2340.078659854509,5.070180269817649,1.18169773974941e-5,sig
Lower Sac - Upper Sac,0.3158343818756986,0.04460064980475823,2340.057551143639,7.081385209818261,5.0062398671002484e-11,sig
Lower SJ - Upper Sac,0.3449695535486596,0.047899799616618145,2340.1247531833897,7.201899722122791,2.1752377676875767e-11,sig
OMR - Upper Sac,0.3596065056375403,0.05773407803608327,2340.0900327735603,6.228669753984632,1.553975437218469e-8,sig
South Delta - Upper Sac,0.38742320617853154,0.05057731531108204,2340.0659488177557,7.660019196266886,0,sig
