contrast,estimate,SE,df,t.ratio,p.value,sig
fYear2014 - fYear2015,-0.0322892908556668,0.0602524448000257,2340.1145883504605,-0.5359000943917387,0.9998331193233958,not sig
fYear2014 - fYear2017,0.09121822766364905,0.05492768164977088,2340.107723664392,1.6606968458139821,0.7704947575896122,not sig
fYear2014 - fYear2021,0.1188909530821276,0.054855305674076364,2340.227502613884,2.16735558431704,0.42756925383748956,not sig
fYear2015 - fYear2016,-0.14747553656475776,0.05491189281106654,2340.128802556607,-2.6856757073039126,0.15336705429958486,not sig
fYear2015 - fYear2017,0.12350751851931585,0.054356267621016016,2340.1382683737534,2.272185415312871,0.3595412975142015,not sig
fYear2015 - fYear2021,0.1511802439377944,0.05423926029344688,2340.088461489555,2.7872843973143158,0.11956963958961597,not sig
fYear2017 - fYear2021,0.027672725418478553,0.046858322703584,2340.4275306226195,0.5905615869678148,0.9996544985900778,not sig
fYear2018 - fYear2019,0.10594211893859506,0.04699226688309635,2340.2671975071166,2.254458572984987,0.37069213029842896,not sig
fYear2018 - fYear2020,-0.0025401297490669217,0.04737172602086951,2342.211695947564,-0.05362122013345837,0.9999999999979571,not sig
fYear2018 - fYear2022,0.04483756351377782,0.04022086062939915,2340.6641232418256,1.1147837915980379,0.9721450097781343,not sig
fYear2019 - fYear2020,-0.10848224868766199,0.051742080820350554,2341.345992379383,-2.0965961740950143,0.4758316710363486,not sig
fYear2019 - fYear2022,-0.06110455542481724,0.045277555768940686,2340.4487383441906,-1.3495550805932306,0.9160868228684937,not sig
fYear2020 - fYear2022,0.047377693262844744,0.04561322412024593,2341.347921380261,1.0386832804878539,0.9820922550310074,not sig
fYear2014 - fYear2016,-0.17976482742042454,0.05549775411582045,2340.1329584039872,-3.239136975620063,0.033159640409801794,sig
fYear2014 - fYear2018,0.29926453233625994,0.05339996594614632,2340.5416365046376,5.60420829927246,8.359878230779216e-7,sig
fYear2014 - fYear2019,0.405206651274855,0.056713490691854815,2340.336567225632,7.144801815788262,4.015276999780326e-11,sig
fYear2014 - fYear2020,0.296724402587193,0.05715836028867771,2340.500294886273,5.191268627871574,8.050275306592525e-6,sig
fYear2014 - fYear2022,0.34410209585003776,0.05178083568317078,2340.1275587293253,6.645356169133321,1.3466116000060424e-9,sig
fYear2015 - fYear2018,0.3315538231919267,0.05274033881598859,2340.283742483112,6.286531915328045,1.387160497579032e-8,sig
fYear2015 - fYear2019,0.4374959421305218,0.056103210974608894,2340.143445461757,7.798055307895354,0,sig
fYear2015 - fYear2020,0.3290136934428598,0.05672458294202344,2340.9775123149934,5.800195900587497,2.6945369580033685e-7,sig
fYear2015 - fYear2022,0.37639138670570454,0.051174281712835154,2340.0489586364197,7.355088808433648,7.189804307472514e-12,sig
fYear2016 - fYear2017,0.2709830550840736,0.04746617120935217,2340.1511095851347,5.708972267615348,4.585107679089262e-7,sig
fYear2016 - fYear2018,0.4790293597566845,0.0447248107000715,2340.815653352359,10.710595579019827,0,sig
fYear2016 - fYear2019,0.5849714786952795,0.049936098654136916,2340.47983738007,11.714400893567165,0,sig
fYear2016 - fYear2020,0.47648923000761756,0.050260755715787,2340.8953732984473,9.480343524917421,0,sig
fYear2016 - fYear2021,0.29865578050255215,0.04748209124645793,2340.4242998497216,6.289861559642896,1.3584104063824043e-8,sig
fYear2016 - fYear2022,0.5238669232704622,0.043913970669849714,2340.098069529881,11.929390926840892,0,sig
fYear2017 - fYear2018,0.20804630467261087,0.044263672385419804,2341.036169354832,4.700159147688344,9.57475616596426e-5,sig
fYear2017 - fYear2019,0.31398842361120594,0.04931828702067818,2340.467655119569,6.366571967099279,8.333429724061148e-9,sig
fYear2017 - fYear2020,0.20550617492354395,0.04964712722335782,2340.7407725855765,4.139336683046952,0.0011973439307910727,sig
fYear2017 - fYear2022,0.2528838681863887,0.04305038356963355,2340.1842050877017,5.874137399434587,1.7413271558019972e-7,sig
fYear2018 - fYear2021,-0.18037357925413233,0.043972080794485044,2340.238137341133,-4.102002361388244,0.001399885055864969,sig
fYear2019 - fYear2021,-0.2863156981927274,0.04903066832864316,2340.298535059391,-5.839522648837014,2.1376004788464797e-7,sig
fYear2020 - fYear2021,-0.1778334495050654,0.049442012592741,2341.5644461530114,-3.596808466716313,0.009943110188521898,sig
fYear2021 - fYear2022,0.22521114276791016,0.042478973412395475,2340.193173301489,5.301708696712359,4.464455551911328e-6,sig
