contrast,estimate,SE,df,t.ratio,p.value,sig
(Cache/Liberty) - East Delta,-0.1797872929781453,0.06567084839339044,2078.0682325559296,-2.7377032180421828,0.11199649307177173,not sig
(Cache/Liberty) - Franks,-0.12119096346731019,0.052529647391658045,2078.1192460123484,-2.3070964585716194,0.29002583480310673,not sig
(Cache/Liberty) - OMR,-0.170380306369949,0.06168148057566501,2078.0859545598805,-2.7622603215716026,0.10523260484876507,not sig
(Cache/Liberty) - Upper Sac,0.1424412069316141,0.047720705714239545,2078.099611233035,2.98489313600219,0.05761469022319077,not sig
East Delta - Franks,0.05859632951083511,0.07162787935658071,2078.0147409844335,0.8180659547259325,0.9921484038916636,not sig
East Delta - OMR,0.009406986608196305,0.07840945324231734,2078.018633427579,0.11997260813852205,0.9999999817042435,not sig
Franks - OMR,-0.04918934290263881,0.06752844850790168,2078.0066051310187,-0.7284240048382429,0.9961591931730429,not sig
Lower Sac - Lower SJ,0.07011575995851138,0.04909696580208477,2078.0251237278526,1.4281078028559986,0.844336700557387,not sig
(Cache/Liberty) - Lower Sac,-0.7128808487755574,0.04362598845322135,2078.1150566643455,-16.340738033705644,5.895128829536134e-11,sig
(Cache/Liberty) - Lower SJ,-0.642765088817046,0.04897335123746007,2078.1753917884075,-13.12479282253795,5.872236030768363e-11,sig
(Cache/Liberty) - South Delta,-1.2782357526046748,0.055708606655558095,2078.1051599225075,-22.945031824398434,5.922973222993733e-11,sig
East Delta - Lower Sac,-0.533093555797412,0.06565587861639371,2078.027648532479,-8.11950989053253,5.928446622505135e-11,sig
East Delta - Lower SJ,-0.46297779583890064,0.06925204524748048,2078.043852738657,-6.685402491498901,8.845330023987685e-10,sig
East Delta - South Delta,-1.0984484596265296,0.0740132664839782,2078.0192548241025,-14.841237413353632,5.882805353962794e-11,sig
East Delta - Upper Sac,0.32222849990975944,0.06836669477909717,2078.0666994097364,4.713237943576577,7.073790036604688e-5,sig
Franks - Lower Sac,-0.5916898853082472,0.05169032727304474,2078.030726653244,-11.4468202567717,6.089451165536275e-11,sig
Franks - Lower SJ,-0.5215741253497358,0.05728579750404181,2078.026465863057,-9.104772004141795,5.961131588350099e-11,sig
Franks - South Delta,-1.1570447891373645,0.06244336871696368,2078.0240241576766,-18.529506221579553,5.958022963881149e-11,sig
Franks - Upper Sac,0.2636321703989243,0.055478034326681226,2078.1069998291696,4.752009936879375,5.8658589084270574e-5,sig
Lower Sac - OMR,0.5425005424056084,0.06145984130664816,2078.0150118751844,8.826910888019585,5.99551519542274e-11,sig
Lower Sac - South Delta,-0.5653549038291175,0.055510661180480855,2078.051125564546,-10.18461844637355,6.031675159334782e-11,sig
Lower Sac - Upper Sac,0.8553220557071715,0.047663681809070726,2078.0944190874607,17.94494305188983,5.933054048057329e-11,sig
Lower SJ - OMR,0.472384782447097,0.06513884646179847,2078.0149047735385,7.251967268473709,7.681355551625302e-11,sig
Lower SJ - South Delta,-0.6354706637876288,0.059577746889039274,2078.0612111960495,-10.666241960629408,5.957978554960164e-11,sig
Lower SJ - Upper Sac,0.7852062957486601,0.05277908268503195,2078.154633206011,14.8772251392566,5.950773207530347e-11,sig
OMR - South Delta,-1.1078554462347259,0.0698733155365591,2078.0212449592686,-15.855200769098671,5.94415627830358e-11,sig
OMR - Upper Sac,0.3128215133015631,0.06444278999974722,2078.069965336549,4.854251550915008,3.5544298889411685e-5,sig
South Delta - Upper Sac,1.420676959536289,0.058746350878962156,2078.0613161778483,24.183237567612938,5.911859890517235e-11,sig
