contrast,estimate,SE,df,t.ratio,p.value,sig
East Delta - Franks,0.0764473093075535,0.028425790632299625,2052.726108746706,2.689364397860865,0.12630315738680475,not sig
East Delta - Lower Sac,-0.029976914381590614,0.025957449352976898,2052.6387694617642,-1.1548482277266872,0.9442834682260339,not sig
East Delta - Lower SJ,-0.0019460736095002762,0.0273564918483404,2053.0032513036726,-0.0711375427919986,0.9999999995253077,not sig
East Delta - OMR,-0.02461512889339787,0.030914792712438133,2052.50439423179,-0.7962249374389083,0.9933407785181054,not sig
Lower Sac - Lower SJ,0.028030840772090337,0.019600979325595094,2052.3999496101446,1.4300734828839634,0.8433880102312219,not sig
Lower Sac - OMR,0.005361785488192744,0.024345111933584886,2052.418936813201,0.22024074084440678,0.9999987460915569,not sig
Lower SJ - OMR,-0.022669055283897593,0.025764867179728677,2052.3242079829333,-0.8798436695118378,0.9878504744083341,not sig
(Cache/Liberty) - East Delta,0.2500564668307321,0.02591382036546072,2052.919758294826,9.649540797312167,5.485811804817331e-11,sig
(Cache/Liberty) - Franks,0.32650377613828563,0.02108721596690921,2053.7683027520616,15.48349372675116,5.633171706875828e-11,sig
(Cache/Liberty) - Lower Sac,0.2200795524491415,0.01746501836873292,2053.425117517341,12.601163526008257,5.48708856129565e-11,sig
(Cache/Liberty) - Lower SJ,0.24811039322123185,0.01953816812605859,2054.2318510712034,12.698754131935237,5.7309490486545656e-11,sig
(Cache/Liberty) - OMR,0.22544133793733426,0.02442075934111818,2053.270125370033,9.23154496501466,5.535649716392754e-11,sig
(Cache/Liberty) - South Delta,-0.2142968914471332,0.023729293506212657,2053.438386181246,-9.030900620409424,5.5486393257808686e-11,sig
(Cache/Liberty) - Upper Sac,0.5062079372985739,0.01913041594554684,2053.4217164499105,26.46089550480519,5.496436639162994e-11,sig
East Delta - South Delta,-0.46435335827786534,0.030458810324880074,2052.483477442486,-15.245288746506342,5.633116195724597e-11,sig
East Delta - Upper Sac,0.2561514704678418,0.027074872883484653,2053.0460437725937,9.46085588546165,5.546851866711222e-11,sig
Franks - Lower Sac,-0.10642422368914412,0.020720462462124053,2052.517061267903,-5.136189594401291,8.474422091175882e-6,sig
Franks - Lower SJ,-0.07839338291705378,0.02291195614050695,2052.249502345327,-3.421505454894749,0.01466347888217756,sig
Franks - OMR,-0.10106243820095137,0.026837899010710008,2052.2450796763956,-3.7656613194878297,0.004236161266464533,sig
Franks - South Delta,-0.5408006675854189,0.02642796960395389,2052.2443051615137,-20.46319394527038,5.5155768841075314e-11,sig
Franks - Upper Sac,0.1797041611602883,0.022268154809642813,2054.487367999493,8.07000681899655,5.62750956945024e-11,sig
Lower Sac - South Delta,-0.4343764438962747,0.023768263088784856,2052.620273079542,-18.275481143644733,5.535638614162508e-11,sig
Lower Sac - Upper Sac,0.2861283848494324,0.019120650667515223,2053.6902499373164,14.964364436381157,5.545908177140291e-11,sig
Lower SJ - South Delta,-0.46240728466836506,0.025273719177249646,2052.3623520927504,-18.29597303924327,5.499001254349878e-11,sig
Lower SJ - Upper Sac,0.2580975440773421,0.021094508213379857,2054.535336031019,12.23529562607369,5.5719762137584894e-11,sig
OMR - South Delta,-0.4397382293844675,0.02909880513951133,2052.2021625014327,-15.11189986242343,5.707234684848572e-11,sig
OMR - Upper Sac,0.2807665993612397,0.025564539304660832,2053.3074785955114,10.982658283619115,5.643530087695581e-11,sig
South Delta - Upper Sac,0.7205048287457072,0.025008530167861174,2053.8480678773917,28.810362860574607,5.653599810528931e-11,sig
