Datetime,Cyanobacteria
6/23/2022 8:00:00 PM,0.46
6/24/2022 1:00:00 PM,0.09
6/24/2022 8:45:00 PM,0.34
6/27/2022 2:45:00 AM,0.07
6/27/2022 6:45:00 AM,0.12
6/27/2022 7:00:00 AM,0.12
7/6/2022 10:00:00 AM,0.09
8/2/2022 10:00:00 AM,0.10
8/2/2022 10:15:00 AM,0.09
8/4/2022 1:00:00 PM,0.39
8/4/2022 2:00:00 PM,0.06
8/4/2022 2:45:00 PM,6.87
8/4/2022 3:00:00 PM,5.90
8/4/2022 3:15:00 PM,6.64
8/4/2022 3:30:00 PM,6.46
8/4/2022 3:45:00 PM,6.70
8/4/2022 4:00:00 PM,6.84
8/4/2022 4:15:00 PM,6.60
8/4/2022 4:30:00 PM,6.25
8/4/2022 4:45:00 PM,7.57
8/4/2022 5:00:00 PM,6.37
8/4/2022 5:15:00 PM,6.88
8/4/2022 5:30:00 PM,7.43
8/4/2022 5:45:00 PM,7.62
8/4/2022 6:00:00 PM,7.87
8/4/2022 6:15:00 PM,6.84
8/4/2022 6:30:00 PM,7.18
8/4/2022 6:45:00 PM,7.64
8/4/2022 7:00:00 PM,6.99
8/4/2022 7:15:00 PM,7.22
8/4/2022 7:30:00 PM,7.33
8/4/2022 7:45:00 PM,7.62
8/4/2022 8:00:00 PM,8.41
8/4/2022 8:15:00 PM,7.98
8/4/2022 8:30:00 PM,8.11
8/4/2022 8:45:00 PM,8.33
8/4/2022 9:00:00 PM,8.21
8/4/2022 9:15:00 PM,8.52
8/4/2022 9:30:00 PM,9.38
8/4/2022 9:45:00 PM,8.18
8/4/2022 10:00:00 PM,8.57
8/4/2022 10:15:00 PM,8.48
8/4/2022 10:30:00 PM,8.39
8/4/2022 10:45:00 PM,8.55
8/4/2022 11:00:00 PM,8.30
8/4/2022 11:15:00 PM,8.54
8/4/2022 11:30:00 PM,8.43
8/4/2022 11:45:00 PM,8.91
8/5/2022 12:00:00 AM,8.51
8/5/2022 12:15:00 AM,8.33
8/5/2022 12:30:00 AM,8.18
8/5/2022 12:45:00 AM,8.03
8/5/2022 1:00:00 AM,8.57
8/5/2022 1:15:00 AM,8.49
8/5/2022 1:30:00 AM,8.19
8/5/2022 1:45:00 AM,8.49
8/5/2022 2:00:00 AM,8.43
8/5/2022 2:15:00 AM,8.68
8/5/2022 2:30:00 AM,7.33
8/5/2022 2:45:00 AM,7.70
8/5/2022 3:00:00 AM,7.51
8/5/2022 3:15:00 AM,8.45
8/5/2022 3:30:00 AM,7.38
8/5/2022 3:45:00 AM,7.50
8/5/2022 4:00:00 AM,7.74
8/5/2022 4:15:00 AM,7.48
8/5/2022 4:30:00 AM,7.04
8/5/2022 4:45:00 AM,7.14
8/5/2022 5:00:00 AM,6.70
8/5/2022 5:15:00 AM,6.70
8/5/2022 5:30:00 AM,6.81
8/5/2022 5:45:00 AM,6.24
8/5/2022 6:00:00 AM,6.55
8/5/2022 6:15:00 AM,6.37
8/5/2022 6:30:00 AM,6.68
8/5/2022 6:45:00 AM,5.35
8/5/2022 7:00:00 AM,5.61
8/5/2022 7:15:00 AM,5.97
8/5/2022 7:30:00 AM,6.32
8/5/2022 7:45:00 AM,6.94
8/5/2022 8:00:00 AM,6.26
8/5/2022 8:15:00 AM,6.54
8/5/2022 8:30:00 AM,6.97
8/5/2022 8:45:00 AM,6.84
8/5/2022 9:00:00 AM,7.02
8/5/2022 9:15:00 AM,6.41
8/5/2022 9:30:00 AM,7.07
8/5/2022 9:45:00 AM,7.14
8/5/2022 10:00:00 AM,6.95
8/5/2022 10:15:00 AM,7.58
8/5/2022 10:30:00 AM,7.46
8/5/2022 10:45:00 AM,7.56
8/5/2022 11:00:00 AM,7.23
8/5/2022 11:15:00 AM,8.22
8/5/2022 11:30:00 AM,7.75
8/5/2022 11:45:00 AM,7.11
8/5/2022 12:00:00 PM,7.60
8/5/2022 12:15:00 PM,7.58
8/5/2022 12:30:00 PM,7.80
8/5/2022 12:45:00 PM,7.02
8/5/2022 1:00:00 PM,7.74
8/5/2022 1:15:00 PM,7.04
8/5/2022 1:30:00 PM,6.44
8/5/2022 1:45:00 PM,6.92
8/5/2022 2:00:00 PM,6.87
8/5/2022 2:15:00 PM,7.69
8/5/2022 2:30:00 PM,7.21
8/5/2022 2:45:00 PM,7.68
8/5/2022 3:00:00 PM,6.63
8/5/2022 3:15:00 PM,7.30
8/5/2022 3:30:00 PM,7.14
8/5/2022 3:45:00 PM,6.46
8/5/2022 4:00:00 PM,6.68
8/5/2022 4:15:00 PM,6.74
8/5/2022 4:30:00 PM,6.34
8/5/2022 4:45:00 PM,6.87
8/5/2022 5:00:00 PM,6.25
8/5/2022 5:15:00 PM,8.39
8/5/2022 5:30:00 PM,7.04
8/5/2022 5:45:00 PM,7.06
8/5/2022 6:00:00 PM,7.49
8/5/2022 6:15:00 PM,8.02
8/5/2022 6:30:00 PM,8.23
8/5/2022 6:45:00 PM,8.27
8/5/2022 7:00:00 PM,7.87
8/5/2022 7:15:00 PM,8.63
8/5/2022 7:30:00 PM,8.27
8/5/2022 7:45:00 PM,8.69
8/5/2022 8:00:00 PM,8.45
8/5/2022 8:15:00 PM,8.00
8/5/2022 8:30:00 PM,8.38
8/5/2022 8:45:00 PM,8.44
8/5/2022 9:00:00 PM,8.32
8/5/2022 9:15:00 PM,9.52
8/5/2022 9:30:00 PM,8.84
8/5/2022 9:45:00 PM,10.09
8/5/2022 10:00:00 PM,9.39
8/5/2022 10:15:00 PM,9.58
8/5/2022 10:30:00 PM,9.97
8/5/2022 10:45:00 PM,9.58
8/5/2022 11:00:00 PM,10.09
8/5/2022 11:15:00 PM,9.74
8/5/2022 11:30:00 PM,11.00
8/5/2022 11:45:00 PM,10.53
8/6/2022 12:00:00 AM,10.37
8/6/2022 12:15:00 AM,10.23
8/6/2022 12:30:00 AM,11.22
8/6/2022 12:45:00 AM,11.81
8/6/2022 1:00:00 AM,9.70
8/6/2022 1:15:00 AM,10.09
8/6/2022 1:30:00 AM,9.47
8/6/2022 1:45:00 AM,9.89
8/6/2022 2:00:00 AM,9.65
8/6/2022 2:15:00 AM,10.16
8/6/2022 2:30:00 AM,10.20
8/6/2022 2:45:00 AM,9.93
8/6/2022 3:00:00 AM,9.14
8/6/2022 3:15:00 AM,8.25
8/6/2022 3:30:00 AM,8.41
8/6/2022 3:45:00 AM,8.09
8/6/2022 4:00:00 AM,8.12
8/6/2022 4:15:00 AM,7.78
8/6/2022 4:30:00 AM,7.21
8/6/2022 4:45:00 AM,7.36
8/6/2022 5:00:00 AM,7.09
8/6/2022 5:15:00 AM,6.65
8/6/2022 5:30:00 AM,6.51
8/6/2022 5:45:00 AM,6.11
8/6/2022 6:00:00 AM,6.67
8/6/2022 6:15:00 AM,6.35
8/6/2022 6:30:00 AM,5.72
8/6/2022 6:45:00 AM,5.65
8/6/2022 7:00:00 AM,5.56
8/6/2022 7:15:00 AM,5.47
8/6/2022 7:30:00 AM,4.83
8/6/2022 7:45:00 AM,4.96
8/6/2022 8:00:00 AM,5.35
8/6/2022 8:15:00 AM,4.98
8/6/2022 8:30:00 AM,5.46
8/6/2022 8:45:00 AM,4.79
8/6/2022 9:00:00 AM,5.22
8/6/2022 9:15:00 AM,5.80
8/6/2022 9:30:00 AM,5.99
8/6/2022 9:45:00 AM,5.76
8/6/2022 10:00:00 AM,5.66
8/6/2022 10:15:00 AM,6.43
8/6/2022 10:30:00 AM,6.44
8/6/2022 10:45:00 AM,6.68
8/6/2022 11:00:00 AM,6.37
8/6/2022 11:15:00 AM,6.66
8/6/2022 11:30:00 AM,7.26
8/6/2022 11:45:00 AM,7.61
8/6/2022 12:00:00 PM,6.84
8/6/2022 12:15:00 PM,7.62
8/6/2022 12:30:00 PM,7.62
8/6/2022 12:45:00 PM,8.01
8/6/2022 1:00:00 PM,8.69
8/6/2022 1:15:00 PM,8.13
8/6/2022 1:30:00 PM,8.85
8/6/2022 1:45:00 PM,9.11
8/6/2022 2:00:00 PM,8.90
8/6/2022 2:15:00 PM,9.03
8/6/2022 2:30:00 PM,9.29
8/6/2022 2:45:00 PM,9.01
8/6/2022 3:00:00 PM,7.60
8/6/2022 3:15:00 PM,7.53
8/6/2022 3:30:00 PM,7.28
8/6/2022 3:45:00 PM,7.26
8/6/2022 4:00:00 PM,6.73
8/6/2022 4:15:00 PM,7.03
8/6/2022 4:30:00 PM,6.39
