Station Name,Station Number,Sample Date,Sample Depth,Sample Description,Microcystis aeruginosa Field Observations (Water) 925 [1]*
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,1/5/2022 11:45,3 Feet,,1
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,2/7/2022 14:00,3 Feet,,1
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,3/9/2022 14:15,3 Feet,,1
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,4/6/2022 12:15,3 Feet,,1
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,5/19/2022 10:45,3 Feet,,1
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,6/20/2022 13:15,3 Feet,,1
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,7/18/2022 12:00,3 Feet,,1
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,8/15/2022 11:30,3 Feet,,1
C10A - San Joaquin River near Vernalis @ SJR Club,B9D74081159,9/13/2022 11:30,3 Feet,,1
C9 - West Canal @ Clifton Court Intake,B9C74981333,1/5/2022 10:15,3 Feet,,1
C9 - West Canal @ Clifton Court Intake,B9C74981333,2/7/2022 12:40,3 Feet,,1
C9 - West Canal @ Clifton Court Intake,B9C74981333,3/9/2022 12:30,3 Feet,,1
C9 - West Canal @ Clifton Court Intake,B9C74981333,4/6/2022 10:45,3 Feet,,1
C9 - West Canal @ Clifton Court Intake,B9C74981333,5/19/2022 9:30,3 Feet,,2
C9 - West Canal @ Clifton Court Intake,B9C74981333,6/20/2022 11:45,3 Feet,,2
C9 - West Canal @ Clifton Court Intake,B9C74981333,7/18/2022 10:40,3 Feet,,3
C9 - West Canal @ Clifton Court Intake,B9C74981333,8/15/2022 10:15,3 Feet,,2
C9 - West Canal @ Clifton Court Intake,B9C74981333,9/13/2022 10:00,3 Feet,,1
D10 - Sacramento River @ Chipps Island,B9D80281551,1/11/2022 11:50,3 Feet,,1
D10 - Sacramento River @ Chipps Island,B9D80281551,2/11/2022 12:30,3 Feet,,1
D10 - Sacramento River @ Chipps Island,B9D80281551,3/15/2022 14:05,3 Feet,,1
D10 - Sacramento River @ Chipps Island,B9D80281551,4/26/2022 12:35,3 Feet,,1
D10 - Sacramento River @ Chipps Island,B9D80281551,5/25/2022 12:45,3 Feet,,1
D10 - Sacramento River @ Chipps Island,B9D80281551,6/24/2022 13:25,3 Feet,,1
D10 - Sacramento River @ Chipps Island,B9D80281551,7/22/2022 12:50,3 Feet,,2
D10 - Sacramento River @ Chipps Island,B9D80281551,9/19/2022 13:00,3 Feet,,2
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,1/6/2022 8:05,3 Feet,,1
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,2/8/2022 10:00,3 Feet,,1
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,3/10/2022 9:45,3 Feet,,1
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,4/21/2022 6:55,3 Feet,,1
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,5/20/2022 6:45,3 Feet,,1
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,6/21/2022 9:50,3 Feet,,2
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,7/19/2022 8:20,3 Feet,,3
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,8/16/2022 7:10,3 Feet,,3
D12 - San Joaquin River @ Antioch Ship Channel,B9D80131484,9/14/2022 8:30,3 Feet,,2
D16 - San Joaquin River @ Twitchell Island,B9D80581401,1/6/2022 9:15,3 Feet,,1
D16 - San Joaquin River @ Twitchell Island,B9D80581401,2/8/2022 11:10,3 Feet,,1
D16 - San Joaquin River @ Twitchell Island,B9D80581401,3/10/2022 11:00,3 Feet,,1
D16 - San Joaquin River @ Twitchell Island,B9D80581401,4/21/2022 9:15,3 Feet,,1
D16 - San Joaquin River @ Twitchell Island,B9D80581401,5/20/2022 9:30,3 Feet,,1
D16 - San Joaquin River @ Twitchell Island,B9D80581401,6/21/2022 12:15,3 Feet,,2
D16 - San Joaquin River @ Twitchell Island,B9D80581401,7/20/2022 8:20,3 Feet,,3
D16 - San Joaquin River @ Twitchell Island,B9D80581401,8/17/2022 7:00,3 Feet,,2
D16 - San Joaquin River @ Twitchell Island,B9D80581401,9/15/2022 6:50,3 Feet,,2
D19 - Frank's Tract near Russo's Landing,B9D80261369,1/6/2022 10:35,3 Feet,,1
D19 - Frank's Tract near Russo's Landing,B9D80261369,2/8/2022 12:10,3 Feet,,1
D19 - Frank's Tract near Russo's Landing,B9D80261369,3/10/2022 12:00,3 Feet,,1
D19 - Frank's Tract near Russo's Landing,B9D80261369,4/21/2022 10:50,3 Feet,,1
D19 - Frank's Tract near Russo's Landing,B9D80261369,5/20/2022 10:45,3 Feet,,1
D19 - Frank's Tract near Russo's Landing,B9D80261369,6/21/2022 13:45,3 Feet,,1
D19 - Frank's Tract near Russo's Landing,B9D80261369,7/19/2022 10:50,3 Feet,,3
D19 - Frank's Tract near Russo's Landing,B9D80261369,8/16/2022 10:30,3 Feet,,3
D19 - Frank's Tract near Russo's Landing,B9D80261369,9/14/2022 10:30,3 Feet,,2
D22 - Sacramento River @ Emmaton,B9D80511443,1/10/2022 11:15,3 Feet,,1
D22 - Sacramento River @ Emmaton,B9D80511443,2/10/2022 13:50,3 Feet,,1
D22 - Sacramento River @ Emmaton,B9D80511443,3/14/2022 14:25,3 Feet,,1
D22 - Sacramento River @ Emmaton,B9D80511443,4/25/2022 12:00,3 Feet,,1
D22 - Sacramento River @ Emmaton,B9D80511443,5/24/2022 12:15,3 Feet,,1
D22 - Sacramento River @ Emmaton,B9D80511443,6/23/2022 12:55,3 Feet,,2
D22 - Sacramento River @ Emmaton,B9D80511443,7/21/2022 11:25,3 Feet,,2
D22 - Sacramento River @ Emmaton,B9D80511443,9/30/2022 8:25,3 Feet,,2
D26 - San Joaquin River @ Potato Point,B9D80461340,1/7/2022 8:15,3 Feet,,1
D26 - San Joaquin River @ Potato Point,B9D80461340,2/9/2022 10:15,3 Feet,,1
D26 - San Joaquin River @ Potato Point,B9D80461340,3/11/2022 10:25,3 Feet,,1
D26 - San Joaquin River @ Potato Point,B9D80461340,4/22/2022 7:30,3 Feet,Used lower grade DI water to rinse filtering equipment,1
D26 - San Joaquin River @ Potato Point,B9D80461340,5/23/2022 9:05,3 Feet,,1
D26 - San Joaquin River @ Potato Point,B9D80461340,6/22/2022 10:05,3 Feet,,2
D26 - San Joaquin River @ Potato Point,B9D80461340,7/20/2022 9:15,3 Feet,,3
D26 - San Joaquin River @ Potato Point,B9D80461340,8/17/2022 7:50,3 Feet,,2
D26 - San Joaquin River @ Potato Point,B9D80461340,9/15/2022 7:15,3 Feet,,2
D28A - Old River @ Rancho Del Rio,B9D75821344,1/6/2022 11:25,3 Feet,,1
D28A - Old River @ Rancho Del Rio,B9D75821344,2/8/2022 13:05,3 Feet,,1
D28A - Old River @ Rancho Del Rio,B9D75821344,3/10/2022 13:00,3 Feet,,1
D28A - Old River @ Rancho Del Rio,B9D75821344,4/21/2022 11:35,3 Feet,,1
D28A - Old River @ Rancho Del Rio,B9D75821344,5/20/2022 11:35,3 Feet,,1
D28A - Old River @ Rancho Del Rio,B9D75821344,6/21/2022 14:45,3 Feet,,2
D28A - Old River @ Rancho Del Rio,B9D75821344,7/19/2022 11:50,3 Feet,,3
D28A - Old River @ Rancho Del Rio,B9D75821344,8/16/2022 11:30,3 Feet,,2
D28A - Old River @ Rancho Del Rio,B9D75821344,9/14/2022 11:30,3 Feet,,2
D4 - Sacramento River above Point Sacramento,B9D80381492,1/10/2022 10:25,3 Feet,,1
