Case_ID,CaseStartDate,WaterBodyName,Landmarks,ReportObservationDate,BloomReport_ID,CountyName,RegionName,Latitude,Longitude,WBTypeName,WaterBodyManager,RecLandManager,AdvisoryRecommendedType,AdvisoryRecommendedDate,AdvisoryLevelCurrentOnMap
1184,10/28/2022,Lake Solano,Swim Area,10/11/2022,3784,Solano,Region 5 - Central Valley,38.495345,-122.03292,,,,General awareness,10/28/2022,General awareness
1184,10/28/2022,Lake Solano,Boat Ramp,10/11/2022,3785,Solano,Region 5 - Central Valley,38.493134,-122.02847,,,,General awareness,10/28/2022,General awareness
1183,10/10/2022,Lake Angela,Lake Angela,10/8/2022,3764,Nevada,Region 5 - Central Valley,39.324472,-120.32652,,,,Caution,10/10/2022,Last verified >30 days ago
1182,10/10/2022,Flora and Angela lake,Donner Summit,10/7/2022,3763,Nevada,Region 5 - Central Valley,39.3323,-120.32616,,,,Caution,10/10/2022,Last verified >30 days ago
1181,10/10/2022,"Lily's Pond, Big River",Mendocino Woodlands State Park,10/8/2022,3761,Mendocino,Region 1 - North Coast,0,0,,,,None,10/10/2022,Last verified >30 days ago
1180,10/6/2022,Trout Creek,"12790 Northwoods Blvd, Truckee CA Trout Creek Recreation Center",10/5/2022,3753,Nevada,Region 6 - Lahontan,39.342085,-120.22179,,,,Caution,10/14/2022,Last verified >30 days ago
1179,10/6/2022,Cucamonga-Guasti Regional Park Lakes,two lakes in park,7/1/2022,3754,San Bernardino,Region 8 - Santa Ana,34.073491,-117.591,,,,Caution,11/4/2022,Caution
1178,9/27/2022,Scott's Flat Lake,Hwy 20 side - Marina and also between rocky point and other point with dead tree,9/25/2022,3739,Nevada,Region 5 - Central Valley,39.281297,-120.92444,,,,General awareness,10/3/2022,Last verified >30 days ago
1177,9/26/2022,Folsom Lake,Horseshoe Bar,10/6/2022,3765,Sacramento,Region 5 - Central Valley,38.81236,-121.1059,,,,None,10/11/2022,Last verified >30 days ago
1176,9/26/2022,Rae Lakes,Rae Lake Ranger Station,9/24/2022,3743,Tulare,Region 5 - Central Valley,36.80867,-118.39923,,,,Algal mat alert sign,9/26/2022,Last verified >30 days ago
