agency_cd,site_no,date_time,wtemp_inst,wtemp_inst_cd,spec_cond_inst,spec_cond_inst_cd,do_inst,do_inst_cd,p_h_inst,p_h_inst_cd,x_32316_inst,x_32316_inst_cd,ts213_ysi_exo_turb_inst,ts213_ysi_exo_turb_inst_cd,tz_cd
USGS,11312676,2022-01-01T08:00:00Z,8.9,A,613,A,10.5,P,7.5,P,2.44,P,4.2,P,Etc/GMT+8
USGS,11312676,2022-01-01T08:15:00Z,8.9,A,612,A,10.5,P,7.5,P,2.42,P,3.9,P,Etc/GMT+8
USGS,11312676,2022-01-01T08:30:00Z,8.9,A,613,A,10.5,P,7.5,P,2.39,P,4,P,Etc/GMT+8
USGS,11312676,2022-01-01T08:45:00Z,8.9,A,614,A,10.5,P,7.5,P,2.34,P,3.6,P,Etc/GMT+8
USGS,11312676,2022-01-01T09:00:00Z,8.9,A,611,A,10.5,P,7.5,P,2.1,P,4,P,Etc/GMT+8
USGS,11312676,2022-01-01T09:15:00Z,8.9,A,610,A,10.5,P,7.5,P,2.05,P,3.8,P,Etc/GMT+8
USGS,11312676,2022-01-01T09:30:00Z,9,A,603,A,10.4,P,7.5,P,1.97,P,3.6,P,Etc/GMT+8
USGS,11312676,2022-01-01T09:45:00Z,8.9,A,601,A,10.4,P,7.5,P,2.04,P,3.5,P,Etc/GMT+8
USGS,11312676,2022-01-01T10:00:00Z,8.9,A,597,A,10.4,P,7.5,P,2,P,3.8,P,Etc/GMT+8
USGS,11312676,2022-01-01T10:15:00Z,8.9,A,602,A,10.4,P,7.5,P,2.02,P,3.9,P,Etc/GMT+8
USGS,11312676,2022-01-01T10:30:00Z,8.9,A,600,A,10.4,P,7.5,P,2.09,P,4,P,Etc/GMT+8
USGS,11312676,2022-01-01T10:45:00Z,8.9,A,599,A,10.4,P,7.5,P,2.06,P,3.7,P,Etc/GMT+8
USGS,11312676,2022-01-01T11:00:00Z,8.9,A,594,A,10.4,P,7.5,P,2.1,P,3.7,P,Etc/GMT+8
USGS,11312676,2022-01-01T11:15:00Z,8.9,A,593,A,10.4,P,7.5,P,2.01,P,3.6,P,Etc/GMT+8
USGS,11312676,2022-01-01T11:30:00Z,8.9,A,592,A,10.4,P,7.5,P,2.04,P,3.4,P,Etc/GMT+8
USGS,11312676,2022-01-01T11:45:00Z,8.9,A,590,A,10.4,P,7.5,P,2.08,P,3.5,P,Etc/GMT+8
USGS,11312676,2022-01-01T12:00:00Z,8.9,A,590,A,10.4,P,7.5,P,2.11,P,3.7,P,Etc/GMT+8
USGS,11312676,2022-01-01T12:15:00Z,8.9,A,588,A,10.4,P,7.5,P,2.02,P,3.6,P,Etc/GMT+8
USGS,11312676,2022-01-01T12:30:00Z,8.8,A,586,A,10.4,P,7.5,P,2.02,P,3.6,P,Etc/GMT+8
USGS,11312676,2022-01-01T12:45:00Z,8.8,A,585,A,10.4,P,7.5,P,2.04,P,3.4,P,Etc/GMT+8
USGS,11312676,2022-01-01T13:00:00Z,8.8,A,584,A,10.4,P,7.5,P,2.16,P,3.3,P,Etc/GMT+8
USGS,11312676,2022-01-01T13:15:00Z,8.8,A,582,A,10.4,P,7.5,P,2.02,P,3.4,P,Etc/GMT+8
USGS,11312676,2022-01-01T13:30:00Z,8.8,A,581,A,10.4,P,7.5,P,2.06,P,3.5,P,Etc/GMT+8
USGS,11312676,2022-01-01T13:45:00Z,8.8,A,580,A,10.4,P,7.5,P,2.03,P,3.4,P,Etc/GMT+8
USGS,11312676,2022-01-01T14:00:00Z,8.8,A,579,A,10.4,P,7.5,P,2.15,P,3.4,P,Etc/GMT+8
USGS,11312676,2022-01-01T14:15:00Z,8.8,A,578,A,10.4,P,7.5,P,2.24,P,3.4,P,Etc/GMT+8
USGS,11312676,2022-01-01T14:30:00Z,8.8,A,578,A,10.4,P,7.5,P,2.64,P,3.3,P,Etc/GMT+8
USGS,11312676,2022-01-01T14:45:00Z,8.8,A,577,A,10.4,P,7.5,P,2.66,P,3.1,P,Etc/GMT+8
USGS,11312676,2022-01-01T15:00:00Z,8.8,A,579,A,10.4,P,7.5,P,2.34,P,3.1,P,Etc/GMT+8
USGS,11312676,2022-01-01T15:15:00Z,8.8,A,580,A,10.4,P,7.5,P,2.28,P,3.4,P,Etc/GMT+8
USGS,11312676,2022-01-01T15:30:00Z,8.8,A,582,A,10.4,P,7.5,P,2.23,P,3.2,P,Etc/GMT+8
USGS,11312676,2022-01-01T15:45:00Z,8.7,A,583,A,10.4,P,7.5,P,2.28,P,3.2,P,Etc/GMT+8
USGS,11312676,2022-01-01T16:00:00Z,8.7,A,585,A,10.4,P,7.5,P,2.16,P,3.3,P,Etc/GMT+8
USGS,11312676,2022-01-01T16:15:00Z,8.7,A,586,A,10.4,P,7.5,P,2.2,P,3,P,Etc/GMT+8
USGS,11312676,2022-01-01T16:30:00Z,8.7,A,587,A,10.4,P,7.5,P,2.11,P,3.3,P,Etc/GMT+8
USGS,11312676,2022-01-01T16:45:00Z,8.7,A,588,A,10.4,P,7.5,P,2.18,P,3.1,P,Etc/GMT+8
USGS,11312676,2022-01-01T17:00:00Z,8.7,A,589,A,10.4,P,7.5,P,2.15,P,3,P,Etc/GMT+8
USGS,11312676,2022-01-01T17:15:00Z,8.6,A,591,A,10.4,P,7.5,P,2.14,P,4.6,P,Etc/GMT+8
USGS,11312676,2022-01-01T17:30:00Z,8.6,A,591,A,10.4,P,7.5,P,2.1,P,3,P,Etc/GMT+8
USGS,11312676,2022-01-01T17:45:00Z,8.6,A,592,A,10.4,P,7.5,P,2.08,P,3.1,P,Etc/GMT+8
USGS,11312676,2022-01-01T18:00:00Z,8.7,A,593,A,10.4,P,7.5,P,2.08,P,3.2,P,Etc/GMT+8
USGS,11312676,2022-01-01T18:15:00Z,8.7,A,593,A,10.4,P,7.5,P,2,P,3,P,Etc/GMT+8
USGS,11312676,2022-01-01T18:30:00Z,8.7,A,592,A,10.4,P,7.5,P,2.05,P,3.1,P,Etc/GMT+8
USGS,11312676,2022-01-01T18:45:00Z,8.7,A,591,A,10.4,P,7.5,P,2.04,P,3,P,Etc/GMT+8
USGS,11312676,2022-01-01T19:00:00Z,8.7,A,590,A,10.4,P,7.5,P,2.06,P,3.1,P,Etc/GMT+8
USGS,11312676,2022-01-01T19:15:00Z,8.8,A,590,A,10.4,P,7.5,P,2.06,P,3.2,P,Etc/GMT+8
USGS,11312676,2022-01-01T19:30:00Z,8.8,A,586,A,10.4,P,7.5,P,2.02,P,3.5,P,Etc/GMT+8
USGS,11312676,2022-01-01T19:45:00Z,8.8,A,588,A,10.4,P,7.5,P,1.95,P,3.4,P,Etc/GMT+8
USGS,11312676,2022-01-01T20:00:00Z,8.9,A,585,A,10.4,P,7.5,P,1.97,P,3.4,P,Etc/GMT+8
USGS,11312676,2022-01-01T20:15:00Z,8.9,A,584,A,10.4,P,7.5,P,1.96,P,3.3,P,Etc/GMT+8
USGS,11312676,2022-01-01T20:30:00Z,8.9,A,583,A,10.4,P,7.5,P,1.97,P,3.5,P,Etc/GMT+8
USGS,11312676,2022-01-01T20:45:00Z,8.9,A,580,A,10.4,P,7.5,P,2.01,P,3.5,P,Etc/GMT+8
USGS,11312676,2022-01-01T21:00:00Z,8.9,A,577,A,10.4,P,7.5,P,1.97,P,3.4,P,Etc/GMT+8
USGS,11312676,2022-01-01T21:15:00Z,8.9,A,576,A,10.4,P,7.5,P,1.96,P,3.5,P,Etc/GMT+8
USGS,11312676,2022-01-01T21:30:00Z,8.9,A,574,A,10.4,P,7.5,P,1.99,P,3.4,P,Etc/GMT+8
USGS,11312676,2022-01-01T21:45:00Z,8.9,A,572,A,10.5,P,7.5,P,2,P,3.4,P,Etc/GMT+8
USGS,11312676,2022-01-01T22:00:00Z,8.9,A,570,A,10.4,P,7.5,P,1.92,P,3.6,P,Etc/GMT+8
USGS,11312676,2022-01-01T22:15:00Z,9,A,569,A,10.5,P,7.5,P,1.94,P,3.6,P,Etc/GMT+8
USGS,11312676,2022-01-01T22:30:00Z,9,A,567,A,10.4,P,7.5,P,1.98,P,3.6,P,Etc/GMT+8
USGS,11312676,2022-01-01T22:45:00Z,9,A,565,A,10.4,P,7.5,P,2.01,P,3.8,P,Etc/GMT+8
USGS,11312676,2022-01-01T23:00:00Z,9,A,564,A,10.5,P,7.5,P,2.05,P,3.8,P,Etc/GMT+8
USGS,11312676,2022-01-01T23:15:00Z,9,A,562,A,10.5,P,7.5,P,1.96,P,3.7,P,Etc/GMT+8
USGS,11312676,2022-01-01T23:30:00Z,9,A,561,A,10.5,P,7.5,P,2.06,P,3.6,P,Etc/GMT+8
USGS,11312676,2022-01-01T23:45:00Z,9,A,558,A,10.5,P,7.5,P,2.08,P,3.7,P,Etc/GMT+8
USGS,11312676,2022-01-02T00:00:00Z,9,A,557,A,10.5,P,7.5,P,2.07,P,3.6,P,Etc/GMT+8
USGS,11312676,2022-01-02T00:15:00Z,9,A,555,A,10.5,P,7.5,P,2.09,P,3.6,P,Etc/GMT+8
USGS,11312676,2022-01-02T00:30:00Z,9,A,554,A,10.5,P,7.5,P,2.14,P,3.6,P,Etc/GMT+8
USGS,11312676,2022-01-02T00:45:00Z,9,A,554,A,10.5,P,7.5,P,2.26,P,3.6,P,Etc/GMT+8
USGS,11312676,2022-01-02T01:00:00Z,9,A,553,A,10.4,P,7.5,P,2.25,P,3.2,P,Etc/GMT+8
USGS,11312676,2022-01-02T01:15:00Z,9,A,554,A,10.4,P,7.5,P,2.46,P,3.3,P,Etc/GMT+8
USGS,11312676,2022-01-02T01:30:00Z,9,A,557,A,10.4,P,7.5,P,2.49,P,3.5,P,Etc/GMT+8
USGS,11312676,2022-01-02T01:45:00Z,8.9,A,559,A,10.4,P,7.5,P,2.44,P,3.5,P,Etc/GMT+8
USGS,11312676,2022-01-02T02:00:00Z,8.9,A,558,A,10.4,P,7.5,P,2.43,P,3.4,P,Etc/GMT+8
USGS,11312676,2022-01-02T02:15:00Z,8.9,A,561,A,10.4,P,7.5,P,2.26,P,3.4,P,Etc/GMT+8
USGS,11312676,2022-01-02T02:30:00Z,8.9,A,563,A,10.5,P,7.5,P,2.36,P,3.5,P,Etc/GMT+8
USGS,11312676,2022-01-02T02:45:00Z,8.9,A,564,A,10.5,P,7.5,P,2.36,P,3.5,P,Etc/GMT+8
USGS,11312676,2022-01-02T03:00:00Z,8.9,A,565,A,10.5,P,7.5,P,2.37,P,3.7,P,Etc/GMT+8
USGS,11312676,2022-01-02T03:15:00Z,8.9,A,569,A,10.5,P,7.5,P,2.38,P,3.6,P,Etc/GMT+8
USGS,11312676,2022-01-02T03:30:00Z,8.9,A,569,A,10.5,P,7.5,P,2.36,P,3.6,P,Etc/GMT+8
USGS,11312676,2022-01-02T03:45:00Z,8.9,A,571,A,10.5,P,7.5,P,2.4,P,3.7,P,Etc/GMT+8
USGS,11312676,2022-01-02T04:00:00Z,8.9,A,572,A,10.5,P,7.5,P,2.31,P,3.7,P,Etc/GMT+8
USGS,11312676,2022-01-02T04:15:00Z,8.9,A,570,A,10.5,P,7.5,P,2.32,P,3.8,P,Etc/GMT+8
USGS,11312676,2022-01-02T04:30:00Z,8.9,A,576,A,10.5,P,7.5,P,2.24,P,3.7,P,Etc/GMT+8
USGS,11312676,2022-01-02T04:45:00Z,8.9,A,577,A,10.5,P,7.5,P,2.29,P,3.7,P,Etc/GMT+8
USGS,11312676,2022-01-02T05:00:00Z,8.9,A,579,A,10.5,P,7.5,P,2.29,P,4,P,Etc/GMT+8
USGS,11312676,2022-01-02T05:15:00Z,8.8,A,579,A,10.5,P,7.5,P,2.24,P,4,P,Etc/GMT+8
USGS,11312676,2022-01-02T05:30:00Z,8.8,A,585,A,10.5,P,7.5,P,2.23,P,4.4,P,Etc/GMT+8
USGS,11312676,2022-01-02T05:45:00Z,8.8,A,584,A,10.5,P,7.5,P,2.29,P,4.3,P,Etc/GMT+8
USGS,11312676,2022-01-02T06:00:00Z,8.8,A,587,A,10.5,P,7.5,P,2.26,P,4.4,P,Etc/GMT+8
USGS,11312676,2022-01-02T06:15:00Z,8.8,A,589,A,10.5,P,7.5,P,2.28,P,4.6,P,Etc/GMT+8
USGS,11312676,2022-01-02T06:30:00Z,8.8,A,593,A,10.5,P,7.5,P,2.3,P,4.7,P,Etc/GMT+8
USGS,11312676,2022-01-02T06:45:00Z,8.7,A,594,A,10.5,P,7.5,P,2.3,P,4.7,P,Etc/GMT+8
USGS,11312676,2022-01-02T07:00:00Z,8.7,A,600,A,10.5,P,7.5,P,2.32,P,5.3,P,Etc/GMT+8
USGS,11312676,2022-01-02T07:15:00Z,8.7,A,603,A,10.5,P,7.5,P,2.32,P,5.1,P,Etc/GMT+8
