agency_cd,site_no,date_time,wtemp_inst,wtemp_inst_cd,spec_cond_inst,spec_cond_inst_cd,ts213_ysi_exo_turb_inst,ts213_ysi_exo_turb_inst_cd,tz_cd
USGS,11313433,2022-01-01T08:00:00Z,8.6,P,808,P,5.3,P,Etc/GMT+8
USGS,11313433,2022-01-01T08:15:00Z,8.6,P,805,P,5.6,P,Etc/GMT+8
USGS,11313433,2022-01-01T08:30:00Z,8.6,P,808,P,6.2,P,Etc/GMT+8
USGS,11313433,2022-01-01T08:45:00Z,8.5,P,812,P,6.2,P,Etc/GMT+8
USGS,11313433,2022-01-01T09:00:00Z,8.5,P,817,P,6.5,P,Etc/GMT+8
USGS,11313433,2022-01-01T09:15:00Z,8.5,P,821,P,6.8,P,Etc/GMT+8
USGS,11313433,2022-01-01T09:30:00Z,8.5,P,823,P,6.9,P,Etc/GMT+8
USGS,11313433,2022-01-01T09:45:00Z,8.4,P,823,P,6.8,P,Etc/GMT+8
USGS,11313433,2022-01-01T10:00:00Z,8.4,P,822,P,6.7,P,Etc/GMT+8
USGS,11313433,2022-01-01T10:15:00Z,8.4,P,819,P,6.8,P,Etc/GMT+8
USGS,11313433,2022-01-01T10:30:00Z,8.4,P,816,P,7.3,P,Etc/GMT+8
USGS,11313433,2022-01-01T10:45:00Z,8.4,P,812,P,7.5,P,Etc/GMT+8
USGS,11313433,2022-01-01T11:00:00Z,8.4,P,806,P,7.8,P,Etc/GMT+8
USGS,11313433,2022-01-01T11:15:00Z,8.3,P,797,P,7.9,P,Etc/GMT+8
USGS,11313433,2022-01-01T11:30:00Z,8.3,P,787,P,8.2,P,Etc/GMT+8
USGS,11313433,2022-01-01T11:45:00Z,8.3,P,779,P,8.6,P,Etc/GMT+8
USGS,11313433,2022-01-01T12:00:00Z,8.3,P,764,P,8.5,P,Etc/GMT+8
USGS,11313433,2022-01-01T12:15:00Z,8.3,P,760,P,8.3,P,Etc/GMT+8
USGS,11313433,2022-01-01T12:30:00Z,8.3,P,755,P,8.3,P,Etc/GMT+8
USGS,11313433,2022-01-01T12:45:00Z,8.3,P,754,P,8.6,P,Etc/GMT+8
USGS,11313433,2022-01-01T13:00:00Z,8.3,P,759,P,8.8,P,Etc/GMT+8
USGS,11313433,2022-01-01T13:15:00Z,8.2,P,767,P,8.2,P,Etc/GMT+8
USGS,11313433,2022-01-01T13:30:00Z,8.2,P,775,P,8.1,P,Etc/GMT+8
USGS,11313433,2022-01-01T13:45:00Z,8.2,P,786,P,7.8,P,Etc/GMT+8
USGS,11313433,2022-01-01T14:00:00Z,8.2,P,798,P,7.8,P,Etc/GMT+8
USGS,11313433,2022-01-01T14:15:00Z,8.2,P,806,P,7.3,P,Etc/GMT+8
USGS,11313433,2022-01-01T14:30:00Z,8.2,P,808,P,7,P,Etc/GMT+8
USGS,11313433,2022-01-01T14:45:00Z,8.2,P,811,P,6.8,P,Etc/GMT+8
USGS,11313433,2022-01-01T15:00:00Z,8.2,P,812,P,6.6,P,Etc/GMT+8
USGS,11313433,2022-01-01T15:15:00Z,8.2,P,814,P,6.3,P,Etc/GMT+8
USGS,11313433,2022-01-01T15:30:00Z,8.2,P,816,P,6.4,P,Etc/GMT+8
USGS,11313433,2022-01-01T15:45:00Z,8.2,P,817,P,6.1,P,Etc/GMT+8
USGS,11313433,2022-01-01T16:00:00Z,8.2,P,818,P,6.1,P,Etc/GMT+8
USGS,11313433,2022-01-01T16:15:00Z,8.2,P,819,P,5.9,P,Etc/GMT+8
USGS,11313433,2022-01-01T16:30:00Z,8.2,P,820,P,5.6,P,Etc/GMT+8
USGS,11313433,2022-01-01T16:45:00Z,8.2,P,819,P,5.5,P,Etc/GMT+8
USGS,11313433,2022-01-01T17:00:00Z,8.2,P,821,P,5.3,P,Etc/GMT+8
USGS,11313433,2022-01-01T17:15:00Z,8.2,P,816,P,5.4,P,Etc/GMT+8
USGS,11313433,2022-01-01T17:30:00Z,8.2,P,817,P,5.6,P,Etc/GMT+8
USGS,11313433,2022-01-01T17:45:00Z,8.2,P,816,P,5.9,P,Etc/GMT+8
USGS,11313433,2022-01-01T18:00:00Z,8.2,P,810,P,6.7,P,Etc/GMT+8
USGS,11313433,2022-01-01T18:15:00Z,8.2,P,811,P,6.9,P,Etc/GMT+8
USGS,11313433,2022-01-01T18:30:00Z,8.2,P,806,P,7.4,P,Etc/GMT+8
USGS,11313433,2022-01-01T18:45:00Z,8.1,P,789,P,7.8,P,Etc/GMT+8
USGS,11313433,2022-01-01T19:00:00Z,8.1,P,777,P,7.9,P,Etc/GMT+8
USGS,11313433,2022-01-01T19:15:00Z,8.2,P,762,P,8.2,P,Etc/GMT+8
USGS,11313433,2022-01-01T19:30:00Z,8.2,P,744,P,9,P,Etc/GMT+8
USGS,11313433,2022-01-01T19:45:00Z,8.2,P,724,P,9.3,P,Etc/GMT+8
USGS,11313433,2022-01-01T20:00:00Z,8.2,P,693,P,10,P,Etc/GMT+8
USGS,11313433,2022-01-01T20:15:00Z,8.2,P,667,P,10.3,P,Etc/GMT+8
USGS,11313433,2022-01-01T20:30:00Z,8.2,P,636,P,11,P,Etc/GMT+8
