BGC_ID	Mapping	Date	Time	Year	Month	Site	NWIS_site_no	Method	Lab	Tox_class	Analyte	Result	detect_tox	SiteDateID	UniqueID
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	D-Asp3-Dhb7-RR	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	MC- RR	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	dMC-RR	N/A	NA	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	MC-YR	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	MC-HtyR	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	MC-LR	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	Dha-LR	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	D-Asp3-LR	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	(Asp3)MC-LR	N/A	NA	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	Leu1 LR	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	(Leu)MC-LR	N/A	NA	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	MC-HilR	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	dMC-HtyR	N/A	NA	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	MC-LA	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	MC-LY/E	N/A	NA	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	MC-LY	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	MC-LW	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	MC-LF	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Microcystins	MC-WR	N/A	NA	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Anabaenopeptins	Anabaenopeptin B	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Anabaenopeptins	Anabaenopeptin F	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Anabaenopeptins	Anabaenopeptin A	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Anabaenopeptins	Oscillamide Y	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Nodularin	Nodularin	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Anatoxins	Dihydroanatoxin	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Anatoxins	Anatoxin-a	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Anatoxins	Homoanatoxin-a	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Cylindrospermopsins	Cylindrospermopsin	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Cylindrospermopsins	7-epi-Cylindrospermopsin	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006072	N	2022-01-05	09:15:00	2022	Jan	LIB	11455315	LC-MS/MS	Lumigen	Cylindrospermopsins	7-deoxy-Cylindrospermopsin	ND	No	LIB_2022-01-05	LIB_2022-01-05_09:15:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	D-Asp3-Dhb7-RR	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	MC- RR	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	dMC-RR	N/A	NA	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	MC-YR	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	MC-HtyR	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	MC-LR	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	Dha-LR	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	D-Asp3-LR	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	(Asp3)MC-LR	N/A	NA	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	Leu1 LR	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	(Leu)MC-LR	N/A	NA	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	MC-HilR	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	dMC-HtyR	N/A	NA	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	MC-LA	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	MC-LY/E	N/A	NA	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	MC-LY	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	MC-LW	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	MC-LF	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Microcystins	MC-WR	N/A	NA	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Anabaenopeptins	Anabaenopeptin B	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Anabaenopeptins	Anabaenopeptin F	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Anabaenopeptins	Anabaenopeptin A	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Anabaenopeptins	Oscillamide Y	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Nodularin	Nodularin	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Anatoxins	Dihydroanatoxin	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Anatoxins	Anatoxin-a	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Anatoxins	Homoanatoxin-a	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
BGC006075	N	2022-01-05	10:30:00	2022	Jan	TOL	11455485	LC-MS/MS	Lumigen	Cylindrospermopsins	Cylindrospermopsin	ND	No	TOL_2022-01-05	TOL_2022-01-05_10:30:00
